id,machine_id,timestamp,type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,tool_wear_hours,target,failure_type
1,M_H_01,2024-01-01 08:00:00+00,H,299.00,310.20,1744,31.50,0,0,0,No Failure
2,M_H_01,2024-01-01 09:00:00+00,H,299.10,309.90,1443,40.30,0,1,0,No Failure
3,M_H_01,2024-01-01 10:00:00+00,H,300.70,309.70,1623,32.70,0,2,0,No Failure
4,M_H_01,2024-01-01 11:00:00+00,H,296.40,307.40,1586,35.50,0,3,0,No Failure
5,M_H_01,2024-01-01 12:00:00+00,H,295.60,306.00,1396,52.40,0,4,0,No Failure
6,M_H_01,2024-01-01 13:00:00+00,H,298.30,309.00,1379,43.20,0,5,0,No Failure
7,M_H_01,2024-01-01 14:00:00+00,H,301.10,311.60,1417,53.40,0,6,0,No Failure
8,M_H_01,2024-01-01 15:00:00+00,H,298.40,308.90,1577,37.10,0,7,0,No Failure
9,M_H_01,2024-01-01 16:00:00+00,H,300.20,310.30,1408,42.50,0,8,0,No Failure
10,M_H_01,2024-01-01 17:00:00+00,H,298.70,310.20,1613,36.00,0,9,0,No Failure
11,M_H_01,2024-01-01 18:00:00+00,H,299.90,309.20,1525,33.20,0,10,0,No Failure
12,M_H_01,2024-01-01 19:00:00+00,H,299.40,309.30,1743,28.20,0,11,0,No Failure
13,M_H_01,2024-01-01 20:00:00+00,H,298.20,307.60,1318,55.70,0,12,0,No Failure
14,M_H_01,2024-01-01 21:00:00+00,H,298.30,309.40,1631,29.80,0,13,0,No Failure
15,M_H_01,2024-01-01 22:00:00+00,H,299.60,309.10,1588,41.30,0,14,0,No Failure
16,M_H_01,2024-01-01 23:00:00+00,H,300.40,310.20,1431,43.20,0,15,0,No Failure
17,M_H_01,2024-01-02 00:00:00+00,H,304.00,312.90,1495,46.60,0,16,0,No Failure
18,M_H_01,2024-01-02 01:00:00+00,H,297.30,308.10,1477,52.30,2,17,0,No Failure
19,M_H_01,2024-01-02 02:00:00+00,H,301.00,310.10,1756,30.70,2,18,0,No Failure
20,M_H_01,2024-01-02 03:00:00+00,H,301.30,310.00,1532,36.30,2,19,0,No Failure
21,M_H_01,2024-01-02 04:00:00+00,H,303.70,312.90,1460,49.80,2,20,0,No Failure
